video_id,video_comment,video_comment_final,ratio,rank_vc,rank_vf,cutoff_rank
TBE7kiWlBhQ,358,132,0.368715,1177,103,1656
Tpg9n8tzeu0,3353,768,0.229049,255,17,1656
ahxdAsclzGo,1780,329,0.184831,431,51,1656
OtuyLWn5gCI,2952,510,0.172764,272,32,1656
uQPFNRcoVHU,903,138,0.152824,737,100,1656
Bs5H-hSw7Ro,2832,405,0.143008,283,39,1656
VTPV-NZ6eM8,1549,217,0.140090,485,67,1656
Jm8HPBqQYsE,1519,202,0.132982,494,73,1656
lquQb8_vmmU,866,114,0.131640,757,119,1656
aNrxrgDE0-8,400,52,0.130000,1127,189,1656
n7lM36yFh2Y,7510,937,0.124767,96,14,1656
7mq-p98IIhw,682,84,0.123167,865,146,1656
Lr4FSwSRuNU,983,117,0.119023,692,117,1656
4GUQAw0_pbA,204,24,0.117647,1420,239,1656
mb9wiZsLlA0,774,88,0.113695,810,139,1656
24GfgNtnjXc,601,68,0.113145,920,165,1656
FrcXox0sj2A,726,82,0.112948,837,148,1656
BQBvPypinoU,944,106,0.112288,713,126,1656
yGrJH95CdIs,606,68,0.112211,914,168,1656
xBjjz8gcexc,1459,161,0.110350,511,87,1656
DMhbt60bYlI,1076,118,0.109665,655,116,1656
x_3mVVKZItY,6493,711,0.109503,113,21,1656
Ay4hCFxeCKM,1700,186,0.109412,452,79,1656
SL9zqewyVFM,403,44,0.109181,1120,202,1656
Cae2haI-zmY,1278,137,0.107199,573,101,1656
J4aRcs66Nlo,10801,1147,0.106194,64,11,1656
6jdGh78qLTg,330,35,0.106061,1219,217,1656
uLjGazIxjEA,7908,837,0.105842,87,15,1656
bcH749HeeQc,355,37,0.104225,1182,216,1656
8dwocAz1A7M,1677,171,0.101968,456,82,1656
Q56PMJbCFXQ,13543,1325,0.097837,46,9,1656
MUui_V88zyg,267,26,0.097378,1310,234,1656
sEgxhD9bDkw,402,38,0.094527,1122,215,1656
SVepW3f_V-M,2142,200,0.093371,367,74,1656
67FVMNGMFXU,4462,416,0.093232,187,38,1656
zB_OApdxcno,12207,1129,0.092488,52,12,1656
4fcjpnWd8co,2820,260,0.092199,288,60,1656
AtCtF8Z4JU8,1760,161,0.091477,436,86,1656
4X-olAF9cjg,572,52,0.090909,945,186,1656
PmiI_up0G2Y,1282,116,0.090484,570,118,1656
_8p6YkEPVco,4905,438,0.089297,165,36,1656
cNYOK-r85B8,1608,143,0.088930,477,98,1656
9QQTQuBtxKg,1542,136,0.088197,487,102,1656
eWqBTAYa8h4,456,40,0.087719,1058,208,1656
LSUuQfQDXwM,447,39,0.087248,1069,209,1656
r5M7Oq1PCz4,5607,489,0.087212,141,33,1656
rhTZTy1rZhw,6567,572,0.087102,112,29,1656
gLihxsmI_OU,6042,526,0.087057,125,31,1656
ad8HISRVxF8,233,20,0.085837,1373,259,1656
bMq4OtZTigk,3547,304,0.085706,241,53,1656
0QqgUdno2v8,17535,1471,0.083889,30,8,1656
L44aiNl82xY,1992,166,0.083333,391,85,1656
yZe-TlYxm9g,3664,303,0.082697,229,54,1656
2E6GreKzm5E,340,28,0.082353,1201,229,1656
BE0dihDdvdk,1344,110,0.081845,551,121,1656
w9i9rwg1L_A,4499,364,0.080907,182,44,1656
lY0dqqy05os,124,10,0.080645,1621,321,1656
6hcF0Ilkaxk,2638,212,0.080364,310,70,1656
0qV4mpc8QiA,4523,363,0.080256,180,45,1656
