video_id,video_comment,video_comment_final,ratio,duration_seconds,view_count,category_id,category_title,topic_categories,default_language,default_audio_language,channel_id,channel_country
OKshRPnk0IU,1034,45,22.977778,635,5145866,26,Howto & Style,Hobby|Lifestyle_(sociology),en,en,UCIJ44QRtVGm_gBh_deuL5ow,US
G0N2uc3i1ug,367,20,18.350000,918,326008,26,Howto & Style,Hobby|Lifestyle_(sociology),en,en,UCyAB2uAJo6nMKjUWVWF8FAQ,US
4uadU5WiOVo,2470,139,17.769784,758,11377480,26,Howto & Style,Hobby|Lifestyle_(sociology),en,en-US,UCWwqHwqLSrdWMgp5DZG5Dzg,US
ZjH0xC5VyAU,437,25,17.480000,490,5180335,26,Howto & Style,Food|Lifestyle_(sociology),en,en,UCmoX4QULJ9MB00xW4coMiOw,IN
O_J-Jsp3Cbk,52,3,17.333333,221,106241,26,Howto & Style,Food|Hobby|Lifestyle_(sociology),en,en,UCnVZmX2A10mmBtOqm1SlXHg,
TN29zjT3tcY,2488,147,16.925170,908,13420178,26,Howto & Style,Health|Lifestyle_(sociology)|Physical_fitness,en,en,UC97k3hlbE-1rVN8y56zyEEA,US
j5KDwKdnAhc,19799,1183,16.736264,441,2666536,26,Howto & Style,Food|Hobby|Lifestyle_(sociology),en,en,UCl0Vpub9kTgBhGwGFd0rdfw,US
BBJHQNR05xo,932,59,15.796610,754,6120823,26,Howto & Style,Hobby|Lifestyle_(sociology),en,en,UCQW-17p5SRp7B-lNjYoUVrg,US
9Y5siDNoAKI,2694,179,15.050279,636,4976489,26,Howto & Style,Hobby|Lifestyle_(sociology),en,en-US,UCWwqHwqLSrdWMgp5DZG5Dzg,US
08t8lIJ6K8k,797,54,14.759259,614,2112472,26,Howto & Style,Fashion|Hobby|Lifestyle_(sociology),en,en-US,UCWwqHwqLSrdWMgp5DZG5Dzg,US
W5p2ndS34vA,30353,2069,14.670372,670,133326251,26,Howto & Style,Lifestyle_(sociology),en,en-US,UCWwqHwqLSrdWMgp5DZG5Dzg,US
M5kpiaYNmIE,130,9,14.444444,146,1253968,26,Howto & Style,Food|Lifestyle_(sociology),en,hi,UCYRRwNWXxCKFaVjFuXo1I8Q,IN
O-oKxShuDXU,1178,84,14.023810,438,926523,26,Howto & Style,Hobby|Lifestyle_(sociology)|Tourism,en,en,UCvw83C8PPHDrgKGTcWSl80Q,EE
iMWMPX1SPDg,451,33,13.666667,904,393779,26,Howto & Style,Food|Lifestyle_(sociology),en,en,UCTvs4qyyC-knFO2-shtsQ2w,GB
