video_id,video_comment,video_comment_final
-2FGNhtOy0c,2533,207
-R8EhNDd738,40,11
08t8lIJ6K8k,797,54
0Ve_YrSp500,577,192
0ey8aA9LQMg,596,102
14ce0wzqzOo,245,36
1EeCqTG_MKQ,114,17
2Mb23tK2lLg,2863,491
2SbZYJwqnOo,1016,294
3Uo-b_8T23Q,2886,432
3bQPEEtWGKU,447,96
3cpECR-sfys,40,10
3f38yfY3OO8,63,13
3tvNPOH1FaE,4854,411
4EZP2o9z5J0,336,150
4d2WsVWoJIA,284,63
4uadU5WiOVo,2470,139
5-EkUlRPlzU,492,57
5KtfYM1Sr-E,2407,380
5auu9QHQ13Q,261,47
5oJfJ19hpqA,3369,349
5odZ4m8VAtY,151,27
6NH-L5RwJrg,179,18
6SMyxbqxFZ8,48,9
70cGDOqQSRo,1141,125
78NmEA_4wDA,16,6
8Im7nkpEqzs,170,25
8gcBGxF0IWI,74,18
9AVba_km2Oc,23,7
9Y5siDNoAKI,2694,179
9bBs8ssntB4,16,6
9f-9jrLBfVk,486,168
9rLW7s_S-6I,319,77
9tsDfd52kCA,90,17
A5OHrf_l3b8,122,42
AcfuZCXJxac,47,4
AdkeRzcAwRU,5,2
AfDXp1Yt5ao,855,97
At9UOHLDfUM,290,43
BBJHQNR05xo,932,59
BO8TU2ZTRkg,54,21
C691_uH56ng,29,5
CpqjwJNSKqU,45,23
CwzjmP57_Jw,69,24
D-jb4fSBsLk,378,49
DgGvp6vsHZg,190,46
Dx-7uTyKPFs,46,9
EGbn-r3UzQI,368,50
EvHiF-ptomQ,399,86
F5-nfxQjfZU,1301,158
G0N2uc3i1ug,367,20
G3VbeNl1Nqg,139,75
GFBuFtyNx2A,38,16
GIF-E76Qw2I,628,114
H2FnGm75ImY,389,44
H9Hk2Iv-6f0,116,31
IVG3aE-UcM4,107,23
Ic9KQUzpMVY,108,15
J3OrzNXNva0,218,30
J6klfwi2Kc4,388,66
JFLuPnzs3wQ,4,1
K18LPVV_71Q,109,16
LogWmfXfxgk,748,130
M0WWHvW7E8s,47,12
M5kpiaYNmIE,130,9
MuEiBSAKWLI,191,73
NAIQyoPcjNM,3091,258
NSPgnoMBV4Q,1025,118
NUmrwvQ0reI,557,176
NjKMadWYA0g,1347,250
O-oKxShuDXU,1178,84
O4qazwRvO6E,3641,1457
OBoPIASFThw,44,7
OKshRPnk0IU,1034,45
OQbZvE_emeE,188,34
OXIauqrMCWU,53,15
O_J-Jsp3Cbk,52,3
Ohy1DELF4is,778,148
OuGQrIhXnkw,176,27
OxxAhijR5Uc,16,6
PVpzt5XN0W8,25,4
PsO9F_Bj03w,449,60
QPBp7_2UXA0,28,7
QTsROr4q_pM,9,2
Qi0hPqcnejQ,7,2
QjLnDPiOVAI,4450,601
R9dfqno5lL4,179,25
RECaepj8LkU,7907,914
RLW5fSJd03s,3914,1442
RO0Hg5qY5eM,283,49
SCWoI0X4jw0,632,120
SpSrBGnjurA,3551,493
TN29zjT3tcY,2488,147
Tte4LHqfxPU,86,13
U3uKB0M8PU8,876,213
UQHKAcQzS3Q,109,13
UmPvZIINt-g,616,81
UuBdMJor-Bk,983,188
V9-roZGq1aw,67,18
VPxj8e2r7H0,152,42
VR15_ItYh0w,361,65
W0T1M84I4E0,92,19
W5p2ndS34vA,30353,2069
WWsY8IaoAV8,4742,706
WqQb2TraAxg,105,34
WyGmQZKXWgw,92,23
X8VjHEX8czA,48,17
XBXJxlT5tos,287,35
XsbsB8EGkR8,547,70
Y9_RZQgfv_c,23,6
YADYD28wIWU,225,39
YOjFwp57Y1I,37,3
YQ9kGMas-Xc,8955,709
Yk-aooLyats,472,151
YvZYsHeGT0g,66,15
ZDK6knIPhQg,118,42
ZJ4JjS10FC8,7,4
ZSlzelQYEOU,335,148
ZjH0xC5VyAU,437,25
_qfVIzmqlGE,226,22
azfY1-JRh6Q,35,10
b5UbOtkTH6M,5159,575
bGrisPxu6Hk,117,27
bkwLxcfcKTY,186,65
buu5Ckk4Je4,43,8
cKvklf_j4nc,95,38
dhadqUbksxg,37,7
eXgYQ9SlK50,26,9
f8QUF51FA30,211,45
fUyfCtf-bhs,312,126
fgZ2vcPzBps,19,8
gCP9i8eWt78,79,9
gueFti7TgN8,170,29
hO7-rjf4PMQ,901,126
hVZss8savLM,28,4
iBFCt34O-NQ,43,17
iMWMPX1SPDg,451,33
iSYqz_XP4WE,218,34
iki-Q8CLmA4,44,9
j5KDwKdnAhc,19799,1183
jBGolNzSFgQ,310,53
jW7xuJ2gHOY,144,28
kjTcuBJz-zs,605,94
l5egveJCpAc,107,15
lU0qw1-IkNg,34,5
lhIslpWsj5s,122,20
lpUtXhZm9fE,321,41
mF1bwAZTySE,5094,484
mqEYFHQi3_0,322,31
rcwqYPOUq9U,593,341
t395mDaXgnk,84,7
tFcLbNm5mGE,1463,506
tIAmPWT3wms,52,19
u4rQuSfnn6k,144,25
u_M5MaxLL5U,3451,1054
vTnpqUVO498,126,14
wug-u8L1mK8,267,50
xTARWxkTJw0,569,70
xVQzcMXYQyk,373,41
xy_tDa0rAc4,680,151
xz7vVgVZoA0,36,13
y5K1iVGpHqk,57,13
yg5nLQVg4VY,933,208
yt0imxrGmHg,136,39
yyJvg6ZMGfU,42,10
