video_id,video_comment,video_comment_transformer
-1rq4OYXEv4,1297,0
-54xAtkz1qQ,104,0
-Go3o7Jf5R8,584,0
-H__d4SvibU,27,0
-KPvX0KbMT0,4226,0
-MqyhrKR1XU,254,0
-OpwhtYwY4o,539,0
-QFDHaue_Cc,92,1
-TZp0xMfTww,1060,0
-UY3m8TQjxU,49,0
-VvmyHV4PFU,90,0
-ZLqv4OAgOg,205,0
-__xXKyylrk,380,0
-a_vVFM0Bgk,160,0
-adUE-n_pXc,168,0
-bHg-QdNLvE,212,0
-bnzUIJyzfM,1033,0
-d3QrvYlJpo,114,0
-e7JrBSfjYY,605,0
-gkq_srdhZA,836,0
-hKJOeI4ibU,61,0
-hOr1jufCb0,532,0
-hz6dDUQlPk,1877,0
-ixTF6I8lNE,1351,0
-lHesyZaAp4,295,0
-lk5QDhFZ0E,322,0
-nAU3eSx_BM,4255,2
-qSguUkOjAk,948,0
-rES2ygxrvo,195,0
-rGoz96a7WY,2549,0
-w8Y-8xzBho,1063,0
-wPsLeEqIC8,267,0
-xlBbbqyADo,843,0
-yEBg6hYC64,39,0
-yaUiBlOYn0,1169,0
-zX74ebHPwE,34,0
0-FOFU90AbU,178,0
0-Y0vAuMGNg,63,0
0-ttgS7ijGc,1097,21
01u5BzfkUAA,155,0
090jS4MrLRc,778,0
0EdhyDbXP7o,176,0
0GRQIP2K_eo,346,0
0GYAfMFfl6k,1027,0
0HLVrF3ioeI,100,7
0LbE_TvbZi0,237,0
0MgqXK5RQFc,1234,0
0NvsmcEqHw8,47,0
0QqgUdno2v8,17535,0
0UIk3mqYzIg,198,5
0YpQpVrq49A,157,0
0bOPB2A6mZ8,391,0
0nnbAo0ggmQ,931,0
0qV4mpc8QiA,4523,333
0s3iWq50UCk,83,0
0ttFOge_9oA,32,0
0xP7seMMTFo,16,0
0ynoFBUfai8,104,0
0z8flbkbZ7A,376,0
10H-9wr7GkY,2932,0
13DWvqQqzYw,147,0
1AwrtwRxvlw,1363,1
1E0a8wdOdiA,8,0
1Hlhi5fF0R0,65,0
1T9tLMh99Wo,54532,0
1UsamU3KVaI,771,0
1V98YBHCTRU,2058,0
1WRDt-oLo2k,172,0
1XPicMX6s5k,1762,0
1Y4qpHI3l3U,459,0
1aK4E6gE4TM,107,0
1b6DdPVI5iw,31,0
1ghq6c3gM6c,68,0
1hCZ4r0Acjo,624,0
1ihstsssXqQ,2466,0
1kCxrJWcvcc,673,0
1n25hdAvY7k,29,1
1oNKV-63y6A,1940,0
1vIP_Kao-fo,429,0
1xRwTViv6b4,791,63
1yYd3D96xTA,277,2
1yfaxoHyFbI,301,11
22PZP1dedPE,20003,54
22tm2y1FoEw,1125,1
238Z4YaAr1g,42446,2418 
24GfgNtnjXc,601,80
25FcPPToyRE,860,2
26jIxTEsYjQ,475,0
27G4btgJEWQ,365,16
27LkhaZ0otw,1704,0
27QdtQuVp7Y,481,0
29Wz7SpVHl0,3418,0
29l4rx7mUks,691,0
2Adt6nK3-6w,1282,0
2CXk5TnGZnw,1302,2
2DghsdI0lwM,130,0
2E6GreKzm5E,340,37
2K1agz2C_9o,139,0
2Kh7M3rFRcc,8,0
2MAEMwqVYh8,319,0
2OoKZRKIV9Q,90,0
2gsx_ZpsfdA,9077,5
2jpRvazux-g,1841,16
2mV72J4BbV8,390,0
2owiZw6enWE,1846,0
2pLItnka43s,5074,8
2qCpY38ompo,25209,0
2qdCIJG8cYk,165,0
2u9r_YSqbOM,2316,0
2wgaBS9GAgo,2,0
2zXD9tz_uRY,463,0
2zzoyXmLQtU,1624,26
32Xc2WmMqP0,158,0
34uBOF2yclU,141,0
35cb4xHp7Mg,2409,0
39_-gWu987o,13,0
3DsjjQw_lmk,982,46
3Dy_P9OvwCs,125,0
3GmKhXZebKw,1009,0
3HOFVU792mc,489,0
3KgLqlrYjxw,1383,0
3LoNLu6zVPM,38,0
3Lwbw6LSyqM,438,0
3QrCFlq5AaQ,12267,520
3SHDylN1X8c,428,0
3VaLKBOACLg,51,1
3XBUDlUiVts,282,0
3XtNjthpkZs,1771,0
3Zr0ZHTCnP0,152,0
3ZwI_9d3fJg,1752,0
3bmxhr0R-wI,221,0
3fGWkgcaDGs,141,0
3gRKBu6xIIA,131,0
3i6o2PoPNZ0,2062,0
3kVcX1-3z2Y,270,0
3llOu4uz9zw,489,0
3o2sG3GtPtw,113,0
3qC_SoqXScc,634,1
3tfI1Bs442E,29275,38
3uE9gAaMGuw,100,0
3vf0cmYhEVY,56,0
3vzMCVdv1IY,3548,0
3wBU1qRhoWs,866,0
3x_51DAdzlk,824,0
3zcor0QcHRQ,542,0
42n3NHU-qZk,1073,0
44ZwVWXyhOM,88,0
45352pFQxmE,6184,0
49E9dS1Ygow,41,0
4CXB2xpV9HM,9345,1
4EEedk1SkDw,1971,0
4GUQAw0_pbA,204,0
4Itcn_CJjMo,328,0
4Kjpi-0sLQ4,102,0
4L4KKW4gq9Q,35,0
4OGGPx5jgg0,1109,96
4Pc1Rrnhces,247,0
4Qxy3AejpII,286,0
4T2cCd0mA-0,412,0
4WWXV3En5qs,433,0
4WuX70Xa8Vg,806,0
4YOYpJj8Eb4,470,0
4cLRvWsPjP8,2214,0
4fcjpnWd8co,2820,0
4iSPg1_k_co,167,0
4lKT_dAv_MU,1057,0
4m1GCSlEfXg,11,0
4rwH_PRlUtM,1672,28
4t6_U3bg618,385,0
4tw1MbD3CX0,1356,1
4u36EVMTtiI,1344,0
5-YSDm-6MUk,29092,0
539VLXMEoKg,2499,0
5Dss_CddGLY,353,0
5F5pBTkW2a4,269,0
5FvamZEkIRc,5724,0
5K-8ejZFpqs,403,0
5KAzbNzt7PI,97,0
5LXhsPX9_io,641,0
5SgNQzhLMyE,501,0
5UkaMKGDwwk,2094,0
5ZDI4K1lg2g,36,1
5_4QaEOkfkM,1358,0
5f8ZYtaBRx0,450,0
5hIqXjAmo6k,891,48
5kB_mDc7Im8,900,0
5rLuJftmhro,2879,1
5rVH-na9lMw,772,0
5yqlIgNx_uw,75,0
60RquhwJjDc,55,0
