video_id,comment
-nAU3eSx_BM,"NO BUT I'M HALLUCINATING BBC IS SPREADING VERY SERIOUS DISINFORMATION. TLEMCEN HAS NEVER BEEN A MOROCCAN IN THE ENTIRE HISTORY OF THE MAGHREB AND ABDELMOUMEN EL KOUMI IS AN ALGERIAN NATIONAL HERO. TLEMCEN MADAME IS A CITY OF THE ZIANIDE AND ABU QURRA WHO WAS THE MASTER OF TLEMCEN AND ALGERIA WHILE THE MOROCCAN?S WERE INVADED BY THE IDRISIDS. TLEMCEN WAS THE CAPITAL OF ALGERIA. GIVE US THE NAMES OF THE MOROCCAN WHO GOVERNED TLEMCEN, YOU ARE DISHONEST ???? AND ON WHAT DATE????"
-nAU3eSx_BM,"what do you think of a clown sent by the dictatorial regime ignoring international rights, and violation of a Kingdom rooted in history the oldest Kingdom, even before its native country was a country, moreover Algeria is not a country until then, so leaving the whole world to voice the ignorance of this clown. but that's the world of aliens 👽 👽 👽 👽 they appear then they disappear !!!!"
-QFDHaue_Cc,How is this game so realistic and ridiculous at the same time?
0-ttgS7ijGc,What a crazy way to motivate yourself 🥰🤣🤣🤣
0-ttgS7ijGc,Why don't you make it not in the wall but in the ground?
0-ttgS7ijGc,I hate YouTube because look at all of those comments! Is it low quality?
0-ttgS7ijGc,"Are you dumb? You made that arrow so if when it’s spins, it goes down so you can have so much fun things. School is important eating healthy is important if you don’t eat healthy then it’s not you’re gonna be fat."
0-ttgS7ijGc,Doesn’t go up it goes down because she only put one needle on there like are you dumb?
0-ttgS7ijGc,Umm she doesn't know gravity does she?
0-ttgS7ijGc,Do you know how to play
0-ttgS7ijGc,What the hell that's not going to the top
0-ttgS7ijGc,when you don't know physics
0-ttgS7ijGc,How IQ is in the negative her brain is not braining
0-ttgS7ijGc,Who even eats Nutella and of course it will go down
0-ttgS7ijGc,Did she even learn science? It’s called gravity GRAVITY LEARN DUDE
0-ttgS7ijGc,Have you ever heard of GRAVITY!?
0-ttgS7ijGc,How can be it reaches to the good side because the good side or relax side is in the down and the bad at the top😂
0-ttgS7ijGc,It can't go up  What if she do the opposite?
0-ttgS7ijGc,does this girl even know gravity??
0-ttgS7ijGc,Why not just put it side ways?? Like this! —
0-ttgS7ijGc,"Bro, have you ever heard of gravity?"
0-ttgS7ijGc,Who else think she read it?
0-ttgS7ijGc,we all know why your lucky you think we dont know what gravity is?
0-ttgS7ijGc,Is this the only person on earth who doesn’t know what gravity is? OF COURSE U PUT THE BEST OPTIONS DOWN AND OF COURSE ITS GONNA ALWAYS POINT DOWN💀
0HLVrF3ioeI,When lynja was also alive 😢 R.I.P
0HLVrF3ioeI,didnt he do this last year?
0HLVrF3ioeI,Could the vanilla extract end up fermenting and becoming alcohol?
0HLVrF3ioeI,Who are watching this in 2025 november
0HLVrF3ioeI,Why am i seeing this in 2025
0HLVrF3ioeI,How do u do it from scratch tho like is it only water and vanilla or sum else
0HLVrF3ioeI,Really 4 years have gone by????
0qV4mpc8QiA,I wonder if Laurie strode will be able to be playable or called in like Tommy Jarvis in the Friday the 13th game
0qV4mpc8QiA,What sucks about this is that it's not going to be for ps4. I cant afford buying a ps5
0qV4mpc8QiA,Why his head look too big for his body?
0qV4mpc8QiA,Anyone notice the body dangling out the window of the house the girl runs out of??
0qV4mpc8QiA,What console will this be on or is it only PC?
0qV4mpc8QiA,How long fo think this will last before it ends up like the Friday the 13th game...
0qV4mpc8QiA,Are we gonna get different style Michael Myers like we did in Friday the 13th? Each movie had a more Distinct look.
0qV4mpc8QiA,"Ilfonic and Gun Media, are you going to screw up this game too? Are you going to ruin this one too?"
0qV4mpc8QiA,I wonder if this will be any different from the other 3rd person horror games like Texas Chainsaw and DBD. If it's the same tired game mechanics again with a new license I'm not interested.
0qV4mpc8QiA,Is the gameplay just running in fear?
0qV4mpc8QiA,Are we finally entering a golden era of horror movie single player games? I fuckin' hope so
0qV4mpc8QiA,Are we playing as the survivors or as Michael? I'm interested in this
0qV4mpc8QiA,what platform will this be on.
0qV4mpc8QiA,Why they got Dr Loomis sounding like he’s reading in a shitty accent!?
0qV4mpc8QiA,A trailer for a Pinhead video game came out and now for a Michael Myers one!? Whats next? A Freddy Krueger video game?
0qV4mpc8QiA,will this game have tombstone? lol
0qV4mpc8QiA,How else will be pissed if this is another Friday the 13th situation in the future?
0qV4mpc8QiA,Do we get to play as Michael?
0qV4mpc8QiA,How dare you release a halloween game trailer one month before halloween and it doesn't drop til next year😭😭😭
0qV4mpc8QiA,When can we expect a release date. I really want this. Halloween is some of carpenters finest work.   Anytime before gta6 and requiem would be great.
0qV4mpc8QiA,So this isn't a dead by daylight clone!?
0qV4mpc8QiA,Is it coming out next year ?
0qV4mpc8QiA,So is this gonna be worked on by the devs for less than 2 years and also be abandoned like Texas Chainsaw?
0qV4mpc8QiA,We really needed a terrible Don Pleasance impression?
0qV4mpc8QiA,"Will this be kinda like Alien - Isolation, where you gotta have to hide and sneak away?"
0qV4mpc8QiA,This is stupid. How can you make chasing one person into a video game?
0qV4mpc8QiA,"When your video game trailer has 0% of the video game shown in it, it should at least be a little harder to tell right away that it will be dog shit. Could never ever compare to the amazing Friday the 13th game that now just sadly takes up storage cause I love it too much to uninstall"
0qV4mpc8QiA,Is that ps2? That shit looks ugly.
0qV4mpc8QiA,Would like to know how it’s it going to work. Mission based? Are you Micheal or are you the victim? Open world? Can you kill just anybody or only who the game tells you? What is the objective of the game? To get to Laurie or somebody else?
0qV4mpc8QiA,Are they going to make games like this for every horror franchise out there? Games that'll last max 2 years before they're no longer supported? I don't get it.
0qV4mpc8QiA,why does Michael look like he's on ozempic 💔
0qV4mpc8QiA,So is this going to be like the Friday the 13 game?
0qV4mpc8QiA,Where are the iconic Musik from the nientest
0qV4mpc8QiA,Why is she running as though she's wearing an uncomfortable tampon
0qV4mpc8QiA,Why does Michael look like a bobble head?  🤣🤣
0qV4mpc8QiA,So they're making a Michael Myers DBD clone even though Michael Myers is already in DBD?
0qV4mpc8QiA,"Hopefully better than the Texas chainsaw one. Or any and every horror game remake. Is the prerequisite that it has to be a horrible, live, multi-player game when it comes to classic horror movie games?"
0qV4mpc8QiA,"How about a Halloween Kills where you take on civilians, then firefighters, then police, then SWAT, then the National Guard, then the US military, etc. Cause we all know that Michael is supernatural."
0qV4mpc8QiA,Why didn’t they get Gourley to do Loomis’s voice for this?
0qV4mpc8QiA,Why do players walk like toddlers?
0qV4mpc8QiA,Is it going to suck? Very likely. Will I play it? Definitely.
0qV4mpc8QiA,Ok. So are you playing as Michael?
0qV4mpc8QiA,When I say I'm excited. That's a understatement
0qV4mpc8QiA,do anybody know if the game is the same as the movie ?
0qV4mpc8QiA,Will the game play match Friday the 13th?
0qV4mpc8QiA,Texas Chainsaw Massacre ~ Killer Klowns … GUN IILFONIC ???? just keep making fire ass games get our money and abandon them ???
0qV4mpc8QiA,When a major success like Friday gets shutdown they make a new one but Friday the 13th will only be the goat game forever
0qV4mpc8QiA,Are these the guys that made the Friday the 13th game?  If so I hope they do better on this game
0qV4mpc8QiA,How is this a passable trailer 🤣
0qV4mpc8QiA,Is this from the same creators that abandoned their other projects ?
0qV4mpc8QiA,Can anyone please tell me what songs kendrick sounds like drakeo on? Kendrick uses some slang drakeo made up but other than that i dont hear it.
0qV4mpc8QiA,Are we going to get different masks of Michael like Halloween 4 or 5 or just the one we see?
0qV4mpc8QiA,Why michael got a fat ass head tho? 🤣🤣
0qV4mpc8QiA,Is this by the same people who made Friday the 13th?
0qV4mpc8QiA,Why Michael Myers Does it look like a woman?
0qV4mpc8QiA,Are they planning to do all horror slasher franchises? They going crazy with this one
0qV4mpc8QiA,So basically this game is gonna be like Friday The 13th?
0qV4mpc8QiA,Is this going to be like Friday the 13th and Texas Chainsaw Massacre?
0qV4mpc8QiA,Why can't we get good horror games anymore?
0qV4mpc8QiA,"So why is a sick, slightly Scottish Obi-Wan narrating?"
0qV4mpc8QiA,Exactly how much of a single player game are we talking?
